address,district,rooms,size,level,max_levels,price,lat,lng,price_per_sqm
"город Ташкент, Yakkasaroy район, Кушбеги",Yakkasaroy,2,48.0,5,9,23000,41.2673079,69.2415634,479.1666666666667
"город Ташкент, Yunusobod район, Юнусабад 18-й квартал",Yunusobod,3,70.0,3,4,47000,41.3707855,69.3190425,671.4285714285714
"город Ташкент, Yakkasaroy район, Бабура",Yakkasaroy,3,102.0,7,12,88784,41.2818558,69.2552666,870.4313725490196
"город Ташкент, Uchtepa район, Гулистон",Uchtepa,4,78.0,2,4,65000,41.2978921,69.1804708,833.3333333333334
"город Ташкент, Chilonzor район, Чиланзар квартал И",Chilonzor,4,100.0,1,4,97000,41.259418,69.1804708,970.0
"город Ташкент, Chilonzor район, Чиланзар 19-й квартал",Chilonzor,1,34.0,1,4,28500,41.2710841,69.1849411,838.2352941176471
"город Ташкент, Chilonzor район, Чиланзар 10-й квартал",Chilonzor,2,42.0,2,4,34500,41.2829494,69.1968618,821.4285714285714
"город Ташкент, Uchtepa район, Чиланзар 15-й квартал",Uchtepa,4,80.0,4,5,51000,41.2953086,69.182706,637.5
"город Ташкент, Uchtepa район, Чиланзар 31-й квартал",Uchtepa,3,90.0,1,12,51000,41.2978921,69.1804708,566.6666666666666
"город Ташкент, Chilonzor район, Чиланзар 2-й квартал",Chilonzor,2,45.0,2,4,48000,41.2807837,69.223683,1066.6666666666667
"город Ташкент, Chilonzor район, Аль-Хорезми-2",Chilonzor,3,70.0,5,5,40000,41.260048,69.162198,571.4285714285714
"город Ташкент, Chilonzor район, Чиланзар квартал Ц",Chilonzor,4,96.0,7,9,67000,41.2798237,69.2058023,697.9166666666666
"город Ташкент, Uchtepa район, Чиланзар 25-й квартал",Uchtepa,4,80.0,4,5,68000,41.2797359,69.1670599,850.0
"город Ташкент, Uchtepa район, Чиланзар 24-й квартал",Uchtepa,2,63.0,1,4,40500,41.2814223,69.1760005,642.8571428571429
"город Ташкент, Uchtepa район, Чиланзар 23-й квартал",Uchtepa,2,56.0,4,5,54000,41.2867929,69.1789807,964.2857142857143
"город Ташкент, Uchtepa район, Чиланзар 22-й квартал",Uchtepa,2,52.0,1,4,36000,41.2879715,69.1692951,692.3076923076923
"город Ташкент, Uchtepa район, Чиланзар 12-й квартал",Uchtepa,3,98.0,2,4,68000,41.281265,69.1879213,693.8775510204082
"город Ташкент, Chilonzor район, Бешёгоч",Chilonzor,3,96.0,9,9,63000,41.3068527,69.2534409,656.25
"город Ташкент, Shayhontohur район, Актепа",Shayhontohur,4,93.0,4,4,63500,41.3275402,69.2102725,682.7956989247311
"город Ташкент, Shayhontohur район, Международный деловой центр Tashkent City",Shayhontohur,2,60.0,9,9,49500,41.3365221,69.2824454,825.0
"город Ташкент, Chilonzor район, Chilonzor район массив Аль-Хорезми-2",Chilonzor,5,82.0,4,4,70000,41.260048,69.162198,853.6585365853658
"город Ташкент, Uchtepa район, Чиланзар 23-й квартал",Uchtepa,5,120.0,9,9,52000,41.2867929,69.1789807,433.3333333333333
"город Ташкент, Uchtepa район, Чиланзар 15-й квартал",Uchtepa,4,110.0,3,3,91000,41.2953086,69.182706,827.2727272727273
"город Ташкент, Chilonzor район, Чиланзар 1-й квартал",Chilonzor,4,95.0,2,4,83000,41.2847707,69.2288981,873.6842105263158
"город Ташкент, Uchtepa район, 4-й проезд Курувчи",Uchtepa,2,56.0,1,4,40500,41.265874,69.223683,723.2142857142857
"город Ташкент, Chilonzor район, Мукими",Chilonzor,3,68.0,3,4,48000,41.2885649,69.2290098,705.8823529411765
"город Ташкент, Olmzor район, Себзар",Olmzor,2,57.0,3,4,42000,41.3333453,69.2475235,736.8421052631579
"город Ташкент, Yashnobod район, Жаркургон",Yashnobod,1,46.0,11,11,19765,41.286283,69.3235123,429.67391304347825
"город Ташкент, Chilonzor район, Чиланзар 2-й квартал",Chilonzor,2,45.0,4,4,34500,41.2807837,69.223683,766.6666666666666
"город Ташкент, Yunusobod район, Юнусабад 10-й квартал",Yunusobod,2,40.0,1,9,40000,41.3804352,69.2840285,1000.0
"город Ташкент, Mirzo Ulugbek район, Хумаюн",Mirzo Ulugbek,3,95.0,5,5,50000,41.3427418,69.3875774,526.3157894736842
"город Ташкент, Yunusobod район, Кашгар",Yunusobod,2,53.0,1,9,68000,41.3197131,69.2773236,1283.0188679245282
"город Ташкент, Olmzor район, Карасарайская",Olmzor,2,72.0,4,9,41500,41.3376966,69.243806,576.3888888888889
"город Ташкент, Mirzo Ulugbek район, Буз-1 (Буз базар) ",Mirzo Ulugbek,3,65.0,4,5,41500,41.3215876,69.3230626,638.4615384615385
"город Ташкент, Yunusobod район, ц-4 Кашгар (Ц-4) ",Yunusobod,4,82.0,1,4,86000,41.3197131,69.2773236,1048.780487804878
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,1,42.0,3,9,25500,41.259418,69.1804708,607.1428571428571
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,2,54.0,4,4,31500,41.259418,69.1804708,583.3333333333334
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,1,42.0,1,4,26500,41.259418,69.1804708,630.952380952381
"город Ташкент, Uchtepa район, Гулистон",Uchtepa,1,20.0,3,9,14500,41.2978921,69.1804708,725.0
"город Ташкент, Chilonzor район, Чиланзар 6-й квартал",Chilonzor,2,45.0,4,4,45000,41.2857552,69.2117625,1000.0
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,1,46.0,2,5,30000,41.259418,69.1804708,652.1739130434783
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,2,50.0,2,4,34500,41.259418,69.1804708,690.0
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,1,36.0,2,4,27000,41.259418,69.1804708,750.0
"город Ташкент, Uchtepa район, Чиланзар 12-й квартал",Uchtepa,4,80.0,6,9,59500,41.281265,69.1879213,743.75
"город Ташкент, Uchtepa район, Кизил Шарк",Uchtepa,3,72.0,3,9,48000,41.3239274,69.2143264,666.6666666666666
"город Ташкент, Uchtepa район, Чиланзар 25-й квартал",Uchtepa,4,78.0,5,5,47299,41.2797359,69.1670599,606.3974358974359
"город Ташкент, Chilonzor район, Аль-Хорезми-2",Chilonzor,2,46.0,4,5,37000,41.260048,69.162198,804.3478260869565
"город Ташкент, Chilonzor район, Чиланзар-8",Chilonzor,2,60.0,2,4,38000,41.2894422,69.2058023,633.3333333333334
"город Ташкент, Olmzor район, 15-й проезд Сагбан",Olmzor,2,58.0,5,9,29500,41.3638683,69.2187028,508.62068965517244
"город Ташкент, Chilonzor район, Чиланзар 10-й квартал",Chilonzor,2,70.0,2,7,56000,41.2829494,69.1968618,800.0
"город Ташкент, Yakkasaroy район, 1-й проезд Мукими",Yakkasaroy,2,68.0,6,9,45000,41.2788969,69.2489174,661.7647058823529
"город Ташкент, Uchtepa район, Чиланзар 31-й квартал",Uchtepa,4,100.0,3,5,61500,41.2978921,69.1804708,615.0
"город Ташкент, Chilonzor район, Мукими",Chilonzor,3,68.0,5,5,46500,41.2885649,69.2290098,683.8235294117648
"город Ташкент, Uchtepa район, Чиланзар 31-й квартал",Uchtepa,3,70.0,4,12,51000,41.2978921,69.1804708,728.5714285714286
"город Ташкент, Chilonzor район, Аль-Хорезми-2",Chilonzor,3,90.0,5,9,58400,41.260048,69.162198,648.8888888888889
"город Ташкент, Chilonzor район, Аль-Хорезми-2",Chilonzor,3,60.0,5,5,47000,41.260048,69.162198,783.3333333333334
"город Ташкент, Uchtepa район, Чиланзар 31-й квартал",Uchtepa,4,80.0,5,5,52500,41.2978921,69.1804708,656.25
"город Ташкент, Uchtepa район, Гулистон",Uchtepa,3,74.0,3,5,50000,41.2978921,69.1804708,675.6756756756756
"город Ташкент, Chilonzor район, Чиланзар 1-й квартал",Chilonzor,2,48.0,2,5,41500,41.2847707,69.2288981,864.5833333333334
"город Ташкент, Chilonzor район, Аль-Хорезми-2",Chilonzor,4,94.0,9,9,45000,41.260048,69.162198,478.72340425531917
"город Ташкент, Uchtepa район, Чиланзар 24-й квартал",Uchtepa,3,65.0,4,9,47500,41.2814223,69.1760005,730.7692307692307
"город Ташкент, Chilonzor район, Наккашлык",Chilonzor,4,85.0,3,4,52500,41.259418,69.1804708,617.6470588235294
"город Ташкент, Uchtepa район, Чиланзар 24-й квартал",Uchtepa,1,42.0,5,5,26000,41.2814223,69.1760005,619.047619047619
"город Ташкент, Chilonzor район, Чиланзар квартал Ц",Chilonzor,4,110.0,3,4,105000,41.2798237,69.2058023,954.5454545454545
"город Ташкент, Uchtepa район, Чиланзар квартал Г9А",Uchtepa,3,70.0,4,4,42000,41.2729489,69.1916465,600.0
"город Ташкент, Chilonzor район, Чиланзар 8-й квартал",Chilonzor,3,68.0,2,5,53500,41.2894422,69.2058023,786.7647058823529
"город Ташкент, Yakkasaroy район, Кушбеги",Yakkasaroy,2,48.0,5,9,23000,41.2673079,69.2415634,479.1666666666667
"город Ташкент, Yashnobod район, Ташсельмаш",Yashnobod,1,20.0,3,3,12500,41.3080076,69.3078679,625.0
"город Ташкент, Mirobod район, Тараса Шевченко",Mirobod,3,110.0,4,7,107000,41.2991561,69.2785087,972.7272727272727
"город Ташкент, Chilonzor район, Чиланзар 19-й квартал",Chilonzor,2,46.0,3,4,35000,41.2710841,69.1849411,760.8695652173913
"город Ташкент, Chilonzor район, Чиланзар квартал Ц",Chilonzor,4,125.0,5,5,70000,41.2798237,69.2058023,560.0
"город Ташкент, Mirzo Ulugbek район, площадь Хамида Алимджана",Mirzo Ulugbek,2,72.0,18,19,55000,41.3180348,69.2942247,763.8888888888889
"город Ташкент, Mirzo Ulugbek район, Алтынтепа",Mirzo Ulugbek,2,64.67,7,9,39414,41.3292204,69.3473509,609.4634297201175
"город Ташкент, Yunusobod район, Чинабад",Yunusobod,2,70.0,4,9,60000,41.4153867,69.4292923,857.1428571428571
"город Ташкент, Yunusobod район, Киёт",Yunusobod,1,50.0,7,9,37000,41.3245206,69.2773236,740.0
"город Ташкент, Mirzo Ulugbek район, Буз-2 (Буз) ",Mirzo Ulugbek,2,51.0,2,4,49000,41.319567,69.3246635,960.7843137254902
"город Ташкент, Mirzo Ulugbek район, Феруза",Mirzo Ulugbek,1,22.0,1,2,18000,41.3576548,69.3675816,818.1818181818181
"город Ташкент, Chilonzor район, Чиланзар 5-й квартал",Chilonzor,2,54.0,1,4,42500,41.2916859,69.2177228,787.0370370370371
"город Ташкент, Chilonzor район, Чиланзар 5-й квартал",Chilonzor,1,30.0,3,5,34500,41.2916859,69.2177228,1150.0
"город Ташкент, Chilonzor район, Чиланзар 19-й квартал",Chilonzor,1,42.0,5,9,37000,41.2710841,69.1849411,880.952380952381
"город Ташкент, Yakkasaroy район, Тафаккур",Yakkasaroy,3,70.0,2,4,70000,41.296195,69.262388,1000.0
"город Ташкент, Shayhontohur район, Самарканд Дарвоза",Shayhontohur,3,68.0,2,4,45800,41.3162377,69.2312263,673.5294117647059
"город Ташкент, Chilonzor район, Чиланзар 7-й квартал",Chilonzor,1,30.0,4,4,24000,41.2948119,69.2087824,800.0
"город Ташкент, Uchtepa район, Чиланзар 14-й квартал",Uchtepa,1,52.0,1,4,58000,41.2962523,69.1909015,1115.3846153846155
"город Ташкент, Chilonzor район, Чиланзар 16-й квартал",Chilonzor,4,72.0,4,4,55500,41.274633,69.200587,770.8333333333334
"город Ташкент, Chilonzor район, Чиланзар 16-й квартал",Chilonzor,4,76.0,2,4,68000,41.274633,69.200587,894.7368421052631
"город Ташкент, Uchtepa район, Чиланзар 24-й квартал",Uchtepa,2,48.0,4,4,31000,41.2814223,69.1760005,645.8333333333334
"город Ташкент, Chilonzor район, Аль-Хорезми-2",Chilonzor,2,66.0,3,9,47000,41.260048,69.162198,712.1212121212121
"город Ташкент, Chilonzor район, Чиланзар квартал Ц",Chilonzor,3,60.0,3,5,47000,41.2798237,69.2058023,783.3333333333334
"город Ташкент, Chilonzor район, Чиланзар 6-й квартал",Chilonzor,2,37.0,1,4,41000,41.2857552,69.2117625,1108.1081081081081
"город Ташкент, Mirzo Ulugbek район, Муминова",Mirzo Ulugbek,1,40.0,3,4,24000,41.3392308,69.3389519,600.0
"город Ташкент, Yunusobod район, Юнусабад 11-й квартал",Yunusobod,2,61.0,1,4,55000,41.3700057,69.2892434,901.639344262295
"город Ташкент, Chilonzor район, Чиланзар 4-й квартал",Chilonzor,1,32.0,2,4,28500,41.2837307,69.2169777,890.625
"город Ташкент, Chilonzor район, Чиланзар 16-й квартал",Chilonzor,3,65.0,4,4,42000,41.274633,69.200587,646.1538461538462
"город Ташкент, Uchtepa район, Чупон-Ота",Uchtepa,3,66.0,2,5,67000,41.2902787,69.1839655,1015.1515151515151
"город Ташкент, Chilonzor район, Чиланзар 5-й квартал",Chilonzor,3,70.0,4,4,46500,41.2916859,69.2177228,664.2857142857143
"город Ташкент, Chilonzor район, Катта козиробод",Chilonzor,3,66.0,4,4,50500,41.2773103,69.2152083,765.1515151515151
"город Ташкент, Uchtepa район, Чиланзар 11-й квартал",Uchtepa,3,65.0,1,4,40000,41.2770171,69.1909015,615.3846153846154
"город Ташкент, Yashnobod район, 1-й проезд Иззат",Yashnobod,1,37.0,5,8,13071,41.2785565,69.3415733,353.27027027027026
"город Ташкент, Mirzo Ulugbek район, Алтынтепа",Mirzo Ulugbek,2,69.65,4,9,45188,41.3292204,69.3473509,648.7867910983489
"город Ташкент, Uchtepa район, Чиланзар 11-й квартал",Uchtepa,4,88.0,4,5,53000,41.2770171,69.1909015,602.2727272727273
"город Ташкент, Yakkasaroy район, Кушбеги",Yakkasaroy,1,38.0,2,5,25600,41.2673079,69.2415634,673.6842105263158
"город Ташкент, Mirobod район, Госпитальный",Mirobod,2,61.0,6,9,52000,41.295316,69.275364,852.4590163934427
"город Ташкент, Mirzo Ulugbek район, Навнихол",Mirzo Ulugbek,2,45.0,3,7,44000,41.3462538,69.3323894,977.7777777777778
"город Ташкент, Sergeli район, Сергели-VII",Sergeli,3,69.0,2,9,40000,41.2202309,69.2251673,579.7101449275362
"город Ташкент, Mirzo Ulugbek район, Алтынтепа",Mirzo Ulugbek,2,55.13,5,9,35226,41.3292204,69.3473509,638.9624523852711
"город Ташкент, Chilonzor район, Чиланзар 8-й квартал",Chilonzor,3,67.0,4,4,54000,41.2894422,69.2058023,805.9701492537314
"город Ташкент, Shayhontohur район, 1-й проезд Генерала Узакова",Shayhontohur,1,38.0,5,5,22500,41.3268984,69.1952565,592.1052631578947
"город Ташкент, Mirzo Ulugbek район, Карасу 1-й квартал",Mirzo Ulugbek,2,67.0,2,4,36500,41.3375577,69.3726789,544.776119402985
"город Ташкент, Yakkasaroy район, пр-т Бабура",Yakkasaroy,2,54.0,4,9,40000,41.2892951,69.2582738,740.7407407407408
"город Ташкент, Chilonzor район, Чиланзар квартал 20А",Chilonzor,2,58.0,1,9,35000,41.259418,69.1804708,603.448275862069
"город Ташкент, Mirobod район, Фидокор (Чехова) ",Mirobod,4,100.0,5,8,142000,41.296644,69.275878,1420.0
"город Ташкент, Chilonzor район, Мукими",Chilonzor,4,90.0,4,5,52000,41.2885649,69.2290098,577.7777777777778
"город Ташкент, Olmzor район, ул  ХУРРИЯТ 75",Olmzor,3,91.0,3,3,85000,41.3645355,69.2281531,934.065934065934
"город Ташкент, Shayhontohur район, 1-й проезд Лабзак",Shayhontohur,4,111.0,7,8,110000,41.327974,69.2611824,990.990990990991
"город Ташкент, Sergeli район, Сергели 6 А дом 9 кв 53",Sergeli,2,54.0,6,7,36000,41.2304214,69.2117625,666.6666666666666
"город Ташкент, Yashnobod район, жилой комплекс У.М. Шахидов 58-й городок",Yashnobod,3,69.0,5,5,52000,41.2994958,69.2400734,753.6231884057971
"город Ташкент, Yunusobod район, Юнусабад 14-й квартал",Yunusobod,5,107.0,5,5,50000,41.3709551,69.307123,467.2897196261682
"город Ташкент, Mirzo Ulugbek район, Массив А. Югнакий",Mirzo Ulugbek,3,80.0,2,5,55000,41.3539037,69.3851063,687.5
"город Ташкент, Yunusobod район, Юнусабад 4 квартал",Yunusobod,2,63.0,5,9,42000,41.3653679,69.2773236,666.6666666666666
"город Ташкент, Mirobod район, Жемчуг",Mirobod,3,74.0,5,16,69000,41.3021647,69.2687,932.4324324324324
"город Ташкент, Yashnobod район, 40 лет тузел-3 Франция",Yashnobod,2,58.0,5,5,28900,41.294821,69.3659745,498.2758620689655
"город Ташкент, Mirzo Ulugbek район, Паркентский",Mirzo Ulugbek,2,62.0,9,9,34000,41.3146381,69.3228615,548.3870967741935
"город Ташкент, Mirzo Ulugbek район, жилой комплекс Goldhill",Mirzo Ulugbek,3,107.0,2,8,85000,41.3466485,69.3328133,794.392523364486
"город Ташкент, Olmzor район, ТашПИ",Olmzor,1,40.41,2,4,25000,41.3488728,69.1689332,618.6587478346944
"город Ташкент, Chilonzor район, Мирзо Улуғбек метро",Chilonzor,2,54.0,2,4,39000,41.2828581,69.2125566,722.2222222222222
"город Ташкент, Mirzo Ulugbek район, ц-1 Буюк ипак йули (Ц-1) ",Mirzo Ulugbek,1,40.0,1,4,60000,41.3104865,69.2922234,1500.0
"город Ташкент, Mirzo Ulugbek район, Дурмон йули",Mirzo Ulugbek,2,50.0,1,5,36500,41.3357758,69.34359,730.0
"город Ташкент, Yashnobod район, Мавлоно Риёзи",Yashnobod,3,75.0,5,9,42000,41.3123276,69.3159192,560.0
"город Ташкент, Mirzo Ulugbek район, Паркент",Mirzo Ulugbek,3,84.0,7,8,85000,41.3133669,69.3235746,1011.9047619047619
"город Ташкент, Mirzo Ulugbek район, Ирригатор",Mirzo Ulugbek,3,117.0,2,5,125000,41.3203273,69.2993794,1068.3760683760684
"город Ташкент, Mirzo Ulugbek район, Буз-2 (Буз) ",Mirzo Ulugbek,3,70.0,5,5,37000,41.319567,69.3246635,528.5714285714286
"город Ташкент, Mirzo Ulugbek район, проспект Мустакиллик",Mirzo Ulugbek,1,47.0,2,9,42000,41.3209122,69.303727,893.6170212765958
"город Ташкент, Chilonzor район, Чиланзар-17",Chilonzor,2,56.0,2,5,36000,41.271386,69.1961168,642.8571428571429
"город Ташкент, Chilonzor район, Чиланзар-16",Chilonzor,1,42.0,3,9,28000,41.274633,69.200587,666.6666666666666
"город Ташкент, Chilonzor район",Chilonzor,2,60.0,5,9,34000,41.259418,69.1804708,566.6666666666666
"город Ташкент, Chilonzor район, Чиланзар-6",Chilonzor,1,32.0,2,5,28500,41.2857552,69.2117625,890.625
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,1,42.0,2,5,28500,41.259418,69.1804708,678.5714285714286
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,2,60.0,2,9,34500,41.259418,69.1804708,575.0
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,2,54.0,1,4,34500,41.259418,69.1804708,638.8888888888889
"город Ташкент, Chilonzor район, Чиланзар-9",Chilonzor,1,42.0,1,5,25500,41.2901628,69.1968618,607.1428571428571
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,2,60.0,2,9,43500,41.259418,69.1804708,725.0
"город Ташкент, Mirobod район, Афросиаб (пр-т Косманавтов) ",Mirobod,2,72.0,7,9,63000,41.3051824,69.2638823,875.0
"город Ташкент, Yashnobod район, Городок Авиастроителей-4",Yashnobod,3,80.0,1,4,39999,41.2922516,69.3419071,499.9875
"город Ташкент, Chilonzor район, Кошчинар",Chilonzor,1,33.0,2,4,24500,41.2780874,69.2060703,742.4242424242424
"город Ташкент, Yunusobod район, Улица Янги Юнусобод",Yunusobod,2,61.0,3,5,41000,41.3693331,69.3101022,672.1311475409836
"город Ташкент, Mirzo Ulugbek район, Буюк Ипак Йули",Mirzo Ulugbek,4,187.0,2,5,210000,41.3104865,69.2922234,1122.9946524064171
"город Ташкент, Mirzo Ulugbek район, Карасу 1-й квартал",Mirzo Ulugbek,2,63.0,5,5,36000,41.3375577,69.3726789,571.4285714285714
"город Ташкент, Olmzor район, Себзар",Olmzor,2,60.0,5,5,34000,41.3333453,69.2475235,566.6666666666666
"город Ташкент, Chilonzor район, Торговый центр",Chilonzor,1,29.0,2,4,23000,41.2830467,69.2222748,793.1034482758621
"город Ташкент, Mirzo Ulugbek район, Карасу 2-й квартал",Mirzo Ulugbek,2,63.0,5,5,36000,41.3318205,69.3644846,571.4285714285714
"город Ташкент, Uchtepa район, Чиланзар 26-й квартал",Uchtepa,2,48.0,4,5,28500,41.2771751,69.1789807,593.75
"город Ташкент, Chilonzor район, Корзинка",Chilonzor,2,45.0,4,4,47000,41.262123,69.1647666,1044.4444444444443
"город Ташкент, Olmzor район, обводная  Нурафшон",Olmzor,4,122.0,5,5,95000,41.3390184,69.2261213,778.688524590164
"город Ташкент, Yunusobod район, Киёт",Yunusobod,1,42.0,2,4,44000,41.3245206,69.2773236,1047.6190476190477
"город Ташкент, Mirzo Ulugbek район, Шастри",Mirzo Ulugbek,2,50.0,1,4,45000,41.3137673,69.2910424,900.0
"город Ташкент, Mirzo Ulugbek район, Феруза-1",Mirzo Ulugbek,5,100.0,4,4,48000,41.3550649,69.3585936,480.0
"город Ташкент, Mirzo Ulugbek район, Буюк Ипак йули (Луначарское) ",Mirzo Ulugbek,2,60.0,4,4,32000,41.314662,69.293391,533.3333333333334
"город Ташкент, Yakkasaroy район, Шота Руставели",Yakkasaroy,2,50.0,2,4,47000,41.2911414,69.2601933,940.0
"город Ташкент, Mirzo Ulugbek район, Дархан",Mirzo Ulugbek,3,78.0,5,9,70500,41.3200874,69.3013967,903.8461538461538
"город Ташкент, Yakkasaroy район, Яккасарой Тойхона 4/5/6 Новастройка Евро 164м2",Yakkasaroy,4,164.0,5,6,170000,41.2765672,69.2460335,1036.5853658536585
"город Ташкент, Mirzo Ulugbek район, Хумаюн",Mirzo Ulugbek,2,60.0,3,5,30500,41.3427418,69.3875774,508.3333333333333
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,1,42.0,2,4,26000,41.259418,69.1804708,619.047619047619
